id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
HEAL-BALS-004_4273,"Balsamo Para Labios 7 Gr, Menta Citricos","Balsamo Para Labios 7 Gr, Menta Citricos",https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-004.png,https://kluumstore.com.mx/producto/balsamo-para-labios-7-gr-menta-citricos/,"Cuidado Personal","Kluum Store",49MXN,in stock,HEAL-BALS-004_4273,https://kluumstore.com.mx/carrito/?add-to-cart=4273,"https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-004.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,49MXN,new,published,,
HEAL-BALS-003_4271,"Balsamo Para Labios 7 Gr, Naranja","Balsamo Para Labios 7 Gr, Naranja",https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-003.png,https://kluumstore.com.mx/producto/balsamo-para-labios-7-gr-naranja/,"Cuidado Personal","Kluum Store",49MXN,in stock,HEAL-BALS-003_4271,https://kluumstore.com.mx/carrito/?add-to-cart=4271,"https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-003.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,49MXN,new,published,,
HEAL-BALS-002_4269,"Balsamo Para Labios 7 Gr, Dulce Coco","Balsamo Para Labios 7 Gr, Dulce Coco",https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-002.png,https://kluumstore.com.mx/producto/balsamo-para-labios-7-gr-dulce-coco/,"Cuidado Personal","Kluum Store",49MXN,in stock,HEAL-BALS-002_4269,https://kluumstore.com.mx/carrito/?add-to-cart=4269,"https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-002.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,49MXN,new,published,,
HEAL-BALS-001_4267,"Balsamo Para Labios 7 Gr, Durazno Rosa","Balsamo Para Labios 7 Gr, Durazno Rosa",https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-001.png,https://kluumstore.com.mx/producto/balsamo-para-labios-7-gr-durazno-rosa/,"Cuidado Personal","Kluum Store",49MXN,in stock,HEAL-BALS-001_4267,https://kluumstore.com.mx/carrito/?add-to-cart=4267,"https://kluumstore.com.mx/wp-content/uploads/2019/11/HEAL-BALS-001.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,49MXN,new,published,,
WESD-AUDA-027_4265,"Auriculares Alambricos, Rojo","Auriculares Alambricos, Rojo",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-027.png,https://kluumstore.com.mx/producto/auriculares-alambricos-rojo-5/,"Auriculares","Kluum Store",159MXN,in stock,WESD-AUDA-027_4265,https://kluumstore.com.mx/carrito/?add-to-cart=4265,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-027.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,159MXN,new,published,,
WESD-AUDA-026_4263,"Auriculares Alambricos, Dorado Rosado","Auriculares Alambricos, Dorado Rosado",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-026.png,https://kluumstore.com.mx/producto/auriculares-alambricos-dorado-rosado-4/,"Auriculares","Kluum Store",159MXN,in stock,WESD-AUDA-026_4263,https://kluumstore.com.mx/carrito/?add-to-cart=4263,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-026.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,159MXN,new,published,,
WESD-AUDA-025_4261,"Auriculares Alambricos, Plata","Auriculares Alambricos, Plata",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-025.png,https://kluumstore.com.mx/producto/auriculares-alambricos-plata-3/,"Auriculares","Kluum Store",159MXN,in stock,WESD-AUDA-025_4261,https://kluumstore.com.mx/carrito/?add-to-cart=4261,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-025.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,159MXN,new,published,,
WESD-AUDA-024_4259,"Auriculares Alambricos, Verde","Auriculares Alambricos, Verde",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-024.png,https://kluumstore.com.mx/producto/auriculares-alambricos-verde/,"Auriculares","Kluum Store",109MXN,in stock,WESD-AUDA-024_4259,https://kluumstore.com.mx/carrito/?add-to-cart=4259,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-024.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,109MXN,new,published,,
WESD-AUDA-023_4257,"Auriculares Alambricos, Azul","Auriculares Alambricos, Azul",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-023.png,https://kluumstore.com.mx/producto/auriculares-alambricos-azul-2/,"Auriculares","Kluum Store",109MXN,in stock,WESD-AUDA-023_4257,https://kluumstore.com.mx/carrito/?add-to-cart=4257,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-023.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,109MXN,new,published,,
WESD-AUDA-022_4255,"Auriculares Alambricos, Naranja","Auriculares Alambricos, Naranja",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-022.png,https://kluumstore.com.mx/producto/auriculares-alambricos-naranja/,"Auriculares","Kluum Store",109MXN,in stock,WESD-AUDA-022_4255,https://kluumstore.com.mx/carrito/?add-to-cart=4255,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-022.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,109MXN,new,published,,
WESD-AUDA-021_4253,"Auriculares Alambricos, Rojo","Auriculares Alambricos, Rojo",https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-021.png,https://kluumstore.com.mx/producto/auriculares-alambricos-rojo-4/,"Auriculares","Kluum Store",119MXN,in stock,WESD-AUDA-021_4253,https://kluumstore.com.mx/carrito/?add-to-cart=4253,"https://kluumstore.com.mx/wp-content/uploads/2019/11/WESD-AUDA-021.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119MXN,new,published,,
